date,hits,keyword,geo,time,gprop,category
2025-12-24T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2025-12-25T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2025-12-26T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2025-12-27T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2025-12-28T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2025-12-29T21:00:00Z,2,monkeypox,MG,2025-12-25 2026-01-09,web,0
2025-12-30T21:00:00Z,3,monkeypox,MG,2025-12-25 2026-01-09,web,0
2025-12-31T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2026-01-01T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2026-01-02T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2026-01-03T21:00:00Z,0,monkeypox,MG,2025-12-25 2026-01-09,web,0
2026-01-04T21:00:00Z,3,monkeypox,MG,2025-12-25 2026-01-09,web,0
2026-01-05T21:00:00Z,2,monkeypox,MG,2025-12-25 2026-01-09,web,0
2026-01-06T21:00:00Z,2,monkeypox,MG,2025-12-25 2026-01-09,web,0
2026-01-07T21:00:00Z,2,monkeypox,MG,2025-12-25 2026-01-09,web,0
2026-01-08T21:00:00Z,1,monkeypox,MG,2025-12-25 2026-01-09,web,0
2025-12-24T21:00:00Z,0,mpox,MG,2025-12-25 2026-01-09,web,0
2025-12-25T21:00:00Z,0,mpox,MG,2025-12-25 2026-01-09,web,0
2025-12-26T21:00:00Z,0,mpox,MG,2025-12-25 2026-01-09,web,0
2025-12-27T21:00:00Z,0,mpox,MG,2025-12-25 2026-01-09,web,0
2025-12-28T21:00:00Z,0,mpox,MG,2025-12-25 2026-01-09,web,0
2025-12-29T21:00:00Z,37,mpox,MG,2025-12-25 2026-01-09,web,0
2025-12-30T21:00:00Z,64,mpox,MG,2025-12-25 2026-01-09,web,0
2025-12-31T21:00:00Z,29,mpox,MG,2025-12-25 2026-01-09,web,0
2026-01-01T21:00:00Z,26,mpox,MG,2025-12-25 2026-01-09,web,0
2026-01-02T21:00:00Z,21,mpox,MG,2025-12-25 2026-01-09,web,0
2026-01-03T21:00:00Z,25,mpox,MG,2025-12-25 2026-01-09,web,0
2026-01-04T21:00:00Z,52,mpox,MG,2025-12-25 2026-01-09,web,0
2026-01-05T21:00:00Z,61,mpox,MG,2025-12-25 2026-01-09,web,0
2026-01-06T21:00:00Z,63,mpox,MG,2025-12-25 2026-01-09,web,0
2026-01-07T21:00:00Z,51,mpox,MG,2025-12-25 2026-01-09,web,0
2026-01-08T21:00:00Z,54,mpox,MG,2025-12-25 2026-01-09,web,0
2025-12-24T21:00:00Z,0,variole du singe,MG,2025-12-25 2026-01-09,web,0
2025-12-25T21:00:00Z,0,variole du singe,MG,2025-12-25 2026-01-09,web,0
2025-12-26T21:00:00Z,0,variole du singe,MG,2025-12-25 2026-01-09,web,0
2025-12-27T21:00:00Z,0,variole du singe,MG,2025-12-25 2026-01-09,web,0
2025-12-28T21:00:00Z,0,variole du singe,MG,2025-12-25 2026-01-09,web,0
2025-12-29T21:00:00Z,64,variole du singe,MG,2025-12-25 2026-01-09,web,0
2025-12-30T21:00:00Z,100,variole du singe,MG,2025-12-25 2026-01-09,web,0
2025-12-31T21:00:00Z,51,variole du singe,MG,2025-12-25 2026-01-09,web,0
2026-01-01T21:00:00Z,33,variole du singe,MG,2025-12-25 2026-01-09,web,0
2026-01-02T21:00:00Z,26,variole du singe,MG,2025-12-25 2026-01-09,web,0
2026-01-03T21:00:00Z,27,variole du singe,MG,2025-12-25 2026-01-09,web,0
2026-01-04T21:00:00Z,48,variole du singe,MG,2025-12-25 2026-01-09,web,0
2026-01-05T21:00:00Z,55,variole du singe,MG,2025-12-25 2026-01-09,web,0
2026-01-06T21:00:00Z,43,variole du singe,MG,2025-12-25 2026-01-09,web,0
2026-01-07T21:00:00Z,34,variole du singe,MG,2025-12-25 2026-01-09,web,0
2026-01-08T21:00:00Z,24,variole du singe,MG,2025-12-25 2026-01-09,web,0
